Sample	Population	Treatment	Background	Timepoint	Diff_Radius	Mean_WT_Timepoint	Mot_Normal
511_1	511	100_day	MMR	Day_900	1.663798047	3.763512126	0.442086538
511_2	511	100_day	MMR	Day_900	3.136571834	3.763512126	0.833416163
511_3	511	100_day	MMR	Day_900	4.241872145	3.763512126	1.127104684
518_1	518	100_day	MMR	Day_900	2.232568111	3.763512126	0.593214008
518_3	518	100_day	MMR	Day_900	1.840866118	3.763512126	0.489135163
hdfR_1	hdfR	hdfR	Eng_Stain	Clone	6.070316347	3.763512126	1.612939229
hdfR_2	hdfR	hdfR	Eng_Stain	Clone	7.104272066	3.763512126	1.887670832
hdfR_3	hdfR	hdfR	Eng_Stain	Clone	6.380164933	3.763512126	1.695268866
lrhA_1	lrhA	lrhA	Eng_Stain	Clone	12.43436054	3.763512126	3.303924664
lrhA_2	lrhA	lrhA	Eng_Stain	Clone	8.271662434	3.763512126	2.197857256
lrhA_3	lrhA	lrhA	Eng_Stain	Clone	10.35815088	3.763512126	2.752256546
WT_1	WT	WT	Control	WT	2.056979385	3.763512126	0.546558458
WT_2	WT	WT	Control	WT	5.470044868	3.763512126	1.453441542
501_1	501	100_day	WT	Day_900	0.119990589	3.47684139	0.034511379
501_2	501	100_day	WT	Day_900	0.155167743	3.47684139	0.044628939
501_3	501	100_day	WT	Day_900	0.174239529	3.47684139	0.050114316
503_1	503	100_day	WT	Day_900	0.637171602	3.47684139	0.183261625
503_2	503	100_day	WT	Day_900	1.428469021	3.47684139	0.410852513
503_3	503	100_day	WT	Day_900	0.976812292	3.47684139	0.280948189
504_1	504	100_day	MMR	Day_900	0.128726892	3.47684139	0.037024091
504_2	504	100_day	MMR	Day_900	0.139051956	3.47684139	0.039993759
504_3	504	100_day	MMR	Day_900	0.128949145	3.47684139	0.037088015
506_1	506	100_day	MMR	Day_900	1.922486539	3.47684139	0.552940535
506_3	506	100_day	MMR	Day_900	1.659471787	3.47684139	0.477292922
508_1	508	100_day	WT	Day_900	5.307938613	3.47684139	1.52665538
508_2	508	100_day	WT	Day_900	6.782629309	3.47684139	1.95080205
509_1	509	100_day	MMR	Day_900	0.585769634	3.47684139	0.168477526
509_2	509	100_day	MMR	Day_900	0.288012592	3.47684139	0.082837426
509_3	509	100_day	MMR	Day_900	0.153953812	3.47684139	0.044279792
512_1	512	100_day	WT	Day_900	0.30096026	3.47684139	0.086561401
512_2	512	100_day	WT	Day_900	0.286900994	3.47684139	0.082517711
512_3	512	100_day	WT	Day_900	1.788286516	3.47684139	0.514342277
516_1	516	100_day	MMR	Day_900	0.366419114	3.47684139	0.105388505
516_2	516	100_day	MMR	Day_900	0.40937073	3.47684139	0.117742135
516_3	516	100_day	MMR	Day_900	0.841356591	3.47684139	0.241988776
521_1	521	100_day	MMR	Day_900	2.682949737	3.47684139	0.771662965
521_2	521	100_day	MMR	Day_900	2.091605339	3.47684139	0.601582041
521_3	521	100_day	MMR	Day_900	3.616902592	3.47684139	1.040284035
lrhA	lrhA	lrhA	Eng_Stain	Clone	9.147697509	3.47684139	2.631036761
WT	WT	WT	Control	WT	3.47684139	3.47684139	1
511_1	511	100_day	MMR	Day_900	5.753510049	3.753984356	1.532640923
511_2	511	100_day	MMR	Day_900	5.326106012	3.753984356	1.418787482
513_1	513	100_day	WT	Day_900	0.121592675	3.753984356	0.032390299
513_2	513	100_day	WT	Day_900	0.098073769	3.753984356	0.026125247
513_3	513	100_day	WT	Day_900	0.113951348	3.753984356	0.030354774
518_2	518	100_day	MMR	Day_900	1.426174324	3.753984356	0.379909501
518_3	518	100_day	MMR	Day_900	1.559309156	3.753984356	0.415374442
520_1	520	100_day	WT	Day_900	10.50466144	3.753984356	2.798269903
520_2	520	100_day	WT	Day_900	10.81875111	3.753984356	2.881938251
520_3	520	100_day	WT	Day_900	11.00567132	3.753984356	2.931730735
523_1	523	100_day	MMR	Day_900	3.473885458	3.753984356	0.925386237
523_2	523	100_day	MMR	Day_900	2.570719742	3.753984356	0.68479767
523_3	523	100_day	MMR	Day_900	2.795118026	3.753984356	0.744573701
524_1	524	100_day	WT	Day_900	2.123101968	3.753984356	0.565559621
524_2	524	100_day	WT	Day_900	1.515073305	3.753984356	0.403590735
hdfR	hdfR	hdfR	Eng_Stain	Clone	6.703483908	3.753984356	1.785698413
lrhA	lrhA	lrhA	Eng_Stain	Clone	9.801615443	3.753984356	2.610989955
WT_1	WT	WT	Control	WT	4.007758874	3.753984356	1.067601379
WT_2	WT	WT	Control	WT	3.500209838	3.753984356	0.932398621
ydcI_1	ydcI	ydcI	Eng_Stain	Clone	8.671528432	3.753984356	2.309953268
ydcI_2	ydcI	ydcI	Eng_Stain	Clone	4.698419078	3.753984356	1.251581955
ydcI_3	ydcI	ydcI	Eng_Stain	Clone	7.725889986	3.753984356	2.058050661
paaX_3	paaX	paaX	Eng_Stain	Clone	4.22514938	2.139009465	1.975283162
515_1	515	100_day	WT	Day_900	0.924500613	2.139009465	0.432209688
paaX_2	paaX	paaX	Eng_Stain	Clone	3.193272019	2.139009465	1.492874188
paaX_1	paaX	paaX	Eng_Stain	Clone	6.489243127	2.139009465	3.033760829
WT_2	WT	WT	Control	WT	2.174004421	2.139009465	1.016360356
WT_1	WT	WT	Control	WT	2.104014509	2.139009465	0.983639644
fimE_2	fimE	fimE	Eng_Stain	Clone	1.258456215	2.139009465	0.588335973
fimE_3	fimE	fimE	Eng_Stain	Clone	0.91775728	2.139009465	0.429057138
WT_1	WT	WT	Control	WT	10.28835698	8.612835968	1.194537667
WT_2	WT	WT	Control	WT	8.088277543	8.612835968	0.939095737
WT_3	WT	WT	Control	WT	7.461873378	8.612835968	0.866366596
HF_1	hdfR/fimE	hdfR/fimE	Eng_Stain	Clone	7.2556194	8.612835968	0.842419318
HF_2	hdfR/fimE	hdfR/fimE	Eng_Stain	Clone	6.59349198	8.612835968	0.7655425
HF_3	hdfR/fimE	hdfR/fimE	Eng_Stain	Clone	7.106748946	8.612835968	0.825134598
